file,arch,mode,scenario,num_tasks,num_classes,random_baseline,avg_acc_final,avg_acc_immediate,bwt,bwt_all_tasks,forgetting,ft,ft_normalized
eval_cil_replay_stateful_ex1_20260623_0623.json,hgrn,replay_stateful,cil,3,13,0.07692307692307693,0.8643870104461914,0.5777428048737009,0.4299663083587357,0.2866442055724905,0.0,0.3470486111111111,0.2701255341880342
eval_cil_replay_stateful_ex1_20260623_0703.json,lstm,replay_stateful,cil,3,13,0.07692307692307693,0.8505346996277825,0.46064123172758625,0.5848402018502944,0.38989346790019624,0.0,0.31534242863753736,0.23841935171446044
eval_cil_replay_stateful_ex1_20260623_0627.json,hgrn,replay_stateful,cil,3,13,0.07692307692307693,0.849985716733646,0.8219859970812772,0.04199957947855337,0.027999719652368915,0.0,0.7213356935515859,0.6444126166285089
eval_cil_replay_stateful_ex1_20260623_0629.json,hgrn,replay_stateful,cil,3,13,0.07692307692307693,0.8402420054896632,0.8080820028318118,0.04824000398677725,0.032160002657851496,0.0,0.7178291858825868,0.6409061089595098
eval_cil_replay_stateful_ex1_20260623_0704.json,lstm,replay_stateful,cil,3,13,0.07692307692307693,0.8095148096403713,0.7007409883340837,0.16316073195943132,0.10877382130628754,0.0,0.3450562752783993,0.2681331983553224
eval_cil_herding_stateful_ex1_20260623_0706.json,lstm,herding_stateful,cil,3,13,0.07692307692307693,0.8009178221076049,0.8126138072608023,-0.0175439777297961,-0.0116959851531974,0.024017467248908297,0.7014098597119791,0.6244867827889022
eval_cil_replay_stateful_ex1_20260623_0657.json,lstm,replay_stateful,cil,3,13,0.07692307692307693,0.7951472652000239,0.5404664481233292,0.3820212256150421,0.2546808170766947,0.0,0.30137221269296743,0.2244491357698905
eval_cil_ewc_stateful_ex1_20260623_0717.json,lstm,ewc_stateful,cil,3,13,0.07692307692307693,0.7915011349388856,0.8563912360138094,-0.09733515161238565,-0.06489010107492377,0.09733515161238565,0.7720409235342354,0.6951178466111585
eval_cil_stateless_ex1_20260623_0635.json,lstm,stateless,cil,3,13,0.07692307692307693,0.7813303778871122,0.889052359454754,-0.16158297235146268,-0.10772198156764179,0.16158297235146268,0.40941856293562934,0.3324954860125524
eval_cil_replay_stateful_ex1_20260623_0625.json,hgrn,replay_stateful,cil,3,13,0.07692307692307693,0.7794437313975678,0.7280653907078091,0.07706751103463833,0.05137834068975888,0.0,0.42414388693132576,0.34722081000824884
eval_cil_replay_stateful_ex1_20260623_0702.json,lstm,replay_stateful,cil,3,13,0.07692307692307693,0.7743969701539876,0.5639546618681576,0.3156634624287449,0.2104423082858299,0.0,0.513864753405267,0.4369416764821901
eval_cil_ewc_stateful_ex1_20260623_0722.json,lstm,ewc_stateful,cil,3,13,0.07692307692307693,0.7743105076230948,0.84804713061919,-0.11060493449414283,-0.07373662299609522,0.11060493449414283,0.7594366049272455,0.6825135280041685
eval_cil_replay_stateful_ex1_20260623_0658.json,lstm,replay_stateful,cil,3,13,0.07692307692307693,0.7736138679023451,0.5569731364747582,0.3249610971413802,0.2166407314275868,0.042794759825327544,0.4674544070028608,0.39053133007978386
eval_cil_stateful_ex1_20260623_0617.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.7704673574533469,0.5243392379386265,0.36919217927208087,0.24612811951472058,0.0,0.36117467581998475,0.2842515988969078
eval_replay_stateful_ex1_20260525_0317.json,unknown,replay_stateful,unknown,27,17,0.058823529411764705,0.7693209150093752,0.7970332604992113,-0.02877820493175292,-0.027712345489836143,0.030814224906905267,,
eval_cil_ewc_stateful_ex1_20260623_0721.json,lstm,ewc_stateful,cil,3,13,0.07692307692307693,0.7684329298650129,0.8251602828528286,-0.08509102948172337,-0.05672735298781558,0.08509102948172337,0.7283526071867862,0.6514295302637092
eval_cil_replay_stateful_ex1_20260623_0624.json,hgrn,replay_stateful,cil,3,13,0.07692307692307693,0.766881902304903,0.7614358610633859,0.008169061862275784,0.0054460412415171895,0.0026200873362445254,0.7586367772448941,0.6817137003218172
eval_cil_ewc_stateful_ex1_20260623_0621.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.7618998391677905,0.5394540063350779,0.33366874924906886,0.22244583283271258,0.022167487684729037,0.36091907279381863,0.2839959958707417
eval_cil_replay_stateful_ex1_20260623_0656.json,lstm,replay_stateful,cil,3,13,0.07692307692307693,0.7577089201145636,0.24024738028177384,0.7761923097491845,0.5174615398327896,0.0,0.1529513888888889,0.07602831196581197
eval_cil_replay_stateful_ex1_20260623_0626.json,hgrn,replay_stateful,cil,3,13,0.07692307692307693,0.7460101232636579,0.645482910081673,0.15079081977297742,0.10052721318198495,0.0,0.3242453847379461,0.2473223078148692
eval_cil_stateless_ex1_20260623_0636.json,lstm,stateless,cil,3,13,0.07692307692307693,0.7456198431381869,0.8553576728702014,-0.16460674459802171,-0.10973782973201447,0.16460674459802171,0.607009279279594,0.5300862023565172
eval_cil_ewc_stateful_ex1_20260623_0718.json,lstm,ewc_stateful,cil,3,13,0.07692307692307693,0.7441763504533164,0.819406492047158,-0.1128452123907624,-0.0752301415938416,0.1128452123907624,0.7727615680986996,0.6958384911756226
eval_cil_herding_stateful_ex1_20260623_0629.json,hgrn,herding_stateful,cil,3,13,0.07692307692307693,0.7395891120143085,0.5132197874514977,0.3395539868442163,0.22636932456281086,0.0,0.3248263888888889,0.24790331196581195
