mode,scenario,task,immediate_acc,final_acc,delta
replay_stateful,unknown,subject_27,0.5326370757180157,0.5326370757180157,0.0
ewc_stateful,cil,Subject_9_Exercise_1,0.7874564459930313,0.6855400696864111,-0.1019163763066202
ewc_stateful,cil,Subject_9_Exercise_2,0.8450184501845018,0.7767527675276753,-0.06826568265682653
ewc_stateful,cil,Subject_9_Exercise_3,0.8430059523809523,0.8430059523809523,0.0
replay_stateful,cil,Subject_3_Exercise_1,0.8349344978165939,0.8296943231441049,-0.005240174672489051
replay_stateful,cil,Subject_3_Exercise_2,0.842786683107275,0.8643649815043156,0.02157829839704062
replay_stateful,cil,Subject_3_Exercise_3,0.6065864022662889,0.6065864022662889,0.0
ewc_stateful,cil,Subject_8_Exercise_1,0.08449477351916376,0.7961672473867596,0.7116724738675958
ewc_stateful,cil,Subject_8_Exercise_2,0.8165024630541872,0.7721674876847291,-0.044334975369458074
ewc_stateful,cil,Subject_8_Exercise_3,0.7173647824318828,0.7173647824318828,0.0
replay_stateful,cil,Subject_1_Exercise_1,0.08695652173913043,0.8730434782608696,0.7860869565217392
replay_stateful,cil,Subject_1_Exercise_2,0.11746617466174662,0.8837638376383764,0.7662976629766298
replay_stateful,cil,Subject_1_Exercise_3,0.5163194444444444,0.5163194444444444,0.0
replay_stateful,cil,Subject_6_Exercise_1,0.5951346655082537,0.7793223284100782,0.18418766290182453
replay_stateful,cil,Subject_6_Exercise_2,0.5894283958205285,0.7068223724646588,0.11739397664413032
replay_stateful,cil,Subject_6_Exercise_3,0.7518856689162366,0.7518856689162366,0.0
stateless,cil,Subject_3_Exercise_1,0.8244541484716157,0.6358078602620088,-0.18864628820960694
stateless,cil,Subject_3_Exercise_2,0.9254007398273736,0.7848335388409371,-0.1405672009864365
stateless,cil,Subject_3_Exercise_3,0.8162181303116147,0.8162181303116147,0.0
ewc_stateful,cil,Subject_3_Exercise_1,0.8620087336244542,0.7004366812227074,-0.16157205240174677
ewc_stateful,cil,Subject_3_Exercise_2,0.8483353884093712,0.7842170160295932,-0.06411837237977802
ewc_stateful,cil,Subject_3_Exercise_3,0.7478753541076487,0.7478753541076487,0.0
herding_stateful,cil,Subject_1_Exercise_1,0.050434782608695654,0.7147826086956521,0.6643478260869565
herding_stateful,cil,Subject_1_Exercise_2,0.8468634686346863,0.8616236162361623,0.014760147601476037
herding_stateful,cil,Subject_1_Exercise_3,0.6423611111111112,0.6423611111111112,0.0
replay_stateful,cil,Subject_9_Exercise_1,0.7212543554006968,0.6533101045296167,-0.06794425087108014
replay_stateful,cil,Subject_9_Exercise_2,0.7841328413284133,0.7570725707257072,-0.027060270602706105
replay_stateful,cil,Subject_9_Exercise_3,0.7574404761904762,0.7574404761904762,0.0
ewc_stateful,cil,Subject_7_Exercise_1,0.8186573670444638,0.6137750653879687,-0.20488230165649512
ewc_stateful,cil,Subject_7_Exercise_2,0.8385512584407612,0.7532228360957642,-0.08532842234499693
ewc_stateful,cil,Subject_7_Exercise_3,0.7950108459869848,0.7950108459869848,0.0
stateless,cil,Subject_8_Exercise_1,0.9233449477351916,0.627177700348432,-0.2961672473867596
stateless,cil,Subject_8_Exercise_2,0.9199507389162561,0.6982758620689655,-0.2216748768472906
stateless,cil,Subject_8_Exercise_3,0.8084587230581537,0.8084587230581537,0.0
stateless,cil,Subject_4_Exercise_1,0.7977332170880558,0.5928509154315605,-0.20488230165649524
stateless,cil,Subject_4_Exercise_2,0.8918254456054088,0.7602950215119852,-0.13153042409342353
stateless,cil,Subject_4_Exercise_3,0.75,0.75,0.0
stateless,cil,Subject_6_Exercise_1,0.788010425716768,0.6403127715030409,-0.14769765421372716
