file,arch,mode,scenario,num_tasks,num_classes,random_baseline,avg_acc_final,avg_acc_immediate,bwt,bwt_all_tasks,forgetting,ft,ft_normalized
eval_cil_stateful_s1_ex1_20260625_072541.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.8007559042075929,0.8808507399385587,-0.12014225359644898,-0.08009483573096599,0.12014225359644898,0.6927679120541206,0.6158448351310437
eval_cil_ewc_stateful_s1_ex1_20260625_072956.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.797336399450951,0.8890539601048184,-0.13757634098080107,-0.09171756065386738,0.13757634098080107,0.6889087484624846,0.6119856715394076
eval_cil_stateful_s8_ex1_20260625_072836.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.7914434679808168,0.8904812748613486,-0.1485567103207978,-0.09903780688053188,0.1485567103207978,0.71296529086877,0.6360422139456932
eval_cil_ewc_stateful_s8_ex1_20260625_073329.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.7792125228369798,0.8684481750457188,-0.13385347831310823,-0.08923565220873882,0.13385347831310823,0.6971455014954615,0.6202224245723846
eval_cil_ewc_stateful_s3_ex1_20260625_073058.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.7353419442181123,0.8513298973444305,-0.17398192968947712,-0.11598795312631809,0.17398192968947712,0.691710649951272,0.6147875730281951
eval_cil_ewc_stateful_s7_ex1_20260625_073259.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.7281371450939208,0.8381180937845469,-0.1649714230359392,-0.10998094869062613,0.1649714230359392,0.6316365921895577,0.5547135152664808
eval_cil_ewc_stateful_s2_ex1_20260625_073027.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.7233902016482965,0.8746391314831543,-0.22687339475228707,-0.15124892983485805,0.22687339475228707,0.7290920511914858,0.6521689742684089
eval_cil_stateful_s2_ex1_20260625_072607.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.7074234028427049,0.8710191218231719,-0.2453935784707003,-0.16359571898046688,0.2453935784707003,0.7625283145767988,0.6856052376537218
eval_cil_stateful_s7_ex1_20260625_072811.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.7069062352183012,0.8354602035512751,-0.1928309524994608,-0.12855396833297386,0.1928309524994608,0.6583620628814238,0.5814389859583469
eval_cil_ewc_stateful_s4_ex1_20260625_073128.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.7002632580330781,0.7953014530375677,-0.14255729250673438,-0.09503819500448958,0.14255729250673438,0.6727366366096958,0.595813559686619
eval_cil_stateful_s3_ex1_20260625_072632.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.657525589963832,0.8273549199372506,-0.25474399496012795,-0.16982932997341862,0.25474399496012795,0.6934226796561445,0.6164996027330676
eval_cil_ewc_stateful_s6_ex1_20260625_073228.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.656358578725852,0.7983047516821777,-0.2129192594344887,-0.1419461729563258,0.2129192594344887,0.6716094742037955,0.5946863972807186
eval_cil_stateful_s6_ex1_20260625_072746.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.6510487693495719,0.7725135672476257,-0.1821971968470804,-0.1214647978980536,0.1821971968470804,0.6675169144739683,0.5905938375508915
eval_cil_stateful_s4_ex1_20260625_072657.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.6354113035534262,0.7672771742221598,-0.1977988060031005,-0.13186587066873368,0.1977988060031005,0.6656682935861071,0.5887452166630303
eval_cil_ewc_stateful_s9_ex1_20260625_073359.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.6351831375456612,0.7711223540806836,-0.20390882480253375,-0.1359392165350225,0.20390882480253375,0.645264315366368,0.5683412384432911
eval_cil_stateful_s9_ex1_20260625_072900.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.6347898077195058,0.7337175827115413,-0.1483916624880534,-0.0989277749920356,0.1483916624880534,0.5802569298014408,0.503333852878364
eval_cil_stateful_s10_ex1_20260625_072925.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.6111356056277942,0.8362147204703764,-0.3376186722638733,-0.22507911484258222,0.3376186722638733,0.6934267840039157,0.6165037070808388
eval_cil_ewc_stateful_s10_ex1_20260625_073429.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.5579621154900535,0.8290615353889659,-0.40664912984836854,-0.27109941989891234,0.40664912984836854,0.6895122215361765,0.6125891446130995
eval_dil_ewc_stateful_ex1_20260625_073812.json,hgrn,ewc_stateful,dil,27,13,0.07692307692307693,0.5539517108741009,0.7694449460689357,-0.2237814365484825,-0.21549323519483501,0.23598565777764274,0.5277254261131115,0.45080234919003453
eval_cil_stateful_s5_ex1_20260625_072721.json,hgrn,stateful,cil,3,13,0.07692307692307693,0.49200445120539454,0.669489532706456,-0.26622762225159197,-0.17748508150106132,0.26622762225159197,0.5264486560966474,0.44952557917357044
eval_dil_stateful_ex1_20260625_073600.json,hgrn,stateful,dil,27,13,0.07692307692307693,0.4495256132692475,0.7844612707485934,-0.34781779815162833,-0.3349356574793458,0.34781779815162833,0.5521488891143342,0.4752258121912573
eval_cil_ewc_stateful_s5_ex1_20260625_073158.json,hgrn,ewc_stateful,cil,3,13,0.07692307692307693,0.42812330124662185,0.6835049745214826,-0.38307250991229125,-0.25538167327486083,0.38307250991229125,0.5927647665604394,0.5158416896373625
